Problem,Policy,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars,TabulationTime,TabulationActivated
discreteTomography_2,2,0.0,0.0,0.0,0.0,0.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0
blackhole_PN-82,baseline,0.0,0.0,103.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,,
killer_16-sol19,2,0.0,0.0,91.0,0.0,1.332,1.0,0.0,0.0,3.0,24.0,0.043,1.0
blockedqueens-strong_blockedqueens281449799895,baseline,0.0,0.01,3116.0,0.0,1.102,0.0,0.0,0.0,672.0,846.0,,
blockedqueens_blockedqueens561860505104,2,0.0,0.0,169.0,0.0,0.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blockedqueens-strong_blockedqueens561860555812,baseline,0.0,1.64,7127.0,0.0,2.042,0.0,0.0,0.0,79055.0,2153.0,,
opd_flener_et_al_tab2_10_30_09,baseline,0.0,6.53,35739.0,0.0,2.659,1.0,0.0,0.0,552587.0,7182.0,,
blockedqueens_blockedqueens501642452489,baseline,0.0,1.08,27712.0,0.0,1.553,1.0,0.0,0.0,50255.0,7852.0,,
tickTackToe_tickTackToe7,2,0.0,0.05,137628.0,0.0,2.585,1.0,0.0,0.0,52.0,15527.0,0.982,1.0
PlottingModelA_5_5_3_seed15_17_4,baseline,0.0,0.03,38579.0,0.0,11.262,1.0,0.0,0.0,305.0,5649.0,,
knights2_06a,baseline,0.0,0.3,67858.0,0.0,1.962,1.0,0.0,0.0,45837.0,4641.0,,
blockedqueens_blockedqueens481721248152,2,0.0,0.61,26879.0,0.0,1.863,1.0,0.0,0.0,19985.0,7607.0,0.21,1.0
knights_08b,baseline,0.0,8.17,43175.0,0.0,2.178,1.0,0.0,0.0,966041.0,10090.0,,
killer_16-sol12,2,0.0,0.62,87989.0,0.0,5.829,1.0,0.0,0.0,18201.0,20727.0,2.528,1.0
peaceableArmyOfQueens2-completion_peaceableArmyOfQueens285,2,0.0,1.3599999999999999,8682.0,0.0,2.577,1.0,0.0,0.0,91311.0,598.0,0.112,1.0
knights_07a,2,0.0,0.13,17242.0,0.0,1.663,1.0,0.0,0.0,26510.0,4690.0,0.245,1.0
handball7_03,2,0.0,3.67,284521.0,0.0,11.643,1.0,0.0,0.0,125271.0,22917.0,0.903,1.0
Bombastic_Bombastic8,baseline,0.0,0.0,0.0,0.0,1.597,1.0,0.0,0.0,0.0,0.0,,
blockedqueens-strong_blockedqueens481721349794,baseline,0.0,1.21,5942.0,0.0,1.654,0.0,0.0,0.0,58862.0,1748.0,,
blockedqueens_blockedqueens501642453995,baseline,0.0,0.93,27896.0,0.0,1.637,1.0,0.0,0.0,45157.0,7894.0,,
blockedqueens-strong_blockedqueens481721325133,2,0.0,0.08,5477.0,0.0,1.717,0.0,0.0,0.0,4032.0,1637.0,0.005,0.0
blockedqueens-strong_blockedqueens281449793685,2,0.0,0.02,3286.0,0.0,1.115,0.0,0.0,0.0,1083.0,969.0,0.042,0.0
blockedqueens_blockedqueens281449802061,2,0.0,0.06,9080.0,0.0,1.23,1.0,0.0,0.0,2503.0,2625.0,0.152,1.0
blockedqueens-strong_blockedqueens281449798304,2,0.0,0.1,3531.0,0.0,1.144,0.0,0.0,0.0,5410.0,1067.0,0.003,0.0
pegSolitaireTable_pegSolitaire3_43,2,0.0,3.95,473565.0,0.0,3.565,1.0,0.0,0.0,98544.0,132229.0,0.067,0.0
molnars_molnars-3-8,2,,,,0.0,1200.007,,1.0,,,,0.167,1.0
opd_flener_et_al_tab5_11_11_05,2,0.0,0.21,19914.0,0.0,2.238,1.0,0.0,0.0,9691.0,4778.0,0.244,1.0
pegSolitaireState_pegSolitaire16,2,0.0,603.13,514128.0,0.0,8.284,1.0,0.0,0.0,8568486.0,143644.0,1.01,1.0
sokoban_New31,2,0.0,0.41,878878.0,0.0,3.192,1.0,0.0,0.0,529.0,221119.0,1.389,1.0
opd_small_bibd_19_19_09,2,0.0,644.8,112672.0,0.0,5.686,1.0,0.0,0.0,28333395.0,27420.0,1.004,1.0
RamseyNumbers_02-02-01-SAT,baseline,0.0,0.0,0.0,0.0,0.172,1.0,0.0,0.0,0.0,0.0,,
grocery_grocery,2,0.0,22.92,30613265.0,0.0,81.754,1.0,0.0,0.0,206402.0,9350529.0,0.157,1.0
ramsey2_02-05-01-SAT,baseline,0.0,0.0,0.0,0.0,0.256,1.0,0.0,0.0,0.0,0.0,,
knights_12a,baseline,0.0,3414.32,188022.0,0.0,5.338,1.0,0.0,0.0,160086273.0,39367.0,,
PlottingModelA_5_5_3_seed15_18_3,2,0.0,5.27,8410362.0,0.0,30.351,1.0,0.0,0.0,2890.0,821367.0,16.803,1.0
carSequencing_43,baseline,0.0,0.26,274864.0,0.0,9.76,1.0,0.0,0.0,26724.0,29497.0,,
blockedqueens_blockedqueens481721286911,baseline,0.0,3.16,25810.0,0.0,1.572,0.0,0.0,0.0,130344.0,7307.0,,
pegSolitaireAction_pegSolitaire5,2,0.0,173.33,115119.0,0.0,33.148,1.0,0.0,0.0,7862448.0,10055.0,11.8,1.0
ramsey2_02-09-01-SAT,2,0.0,0.0,0.0,0.0,0.209,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bpmp_3237,2,0.0,51.65,223142.0,0.0,4.153,1.0,0.0,0.0,260749.0,55599.0,1.744,1.0
bpmp_8848,2,0.0,42.92,226112.0,0.0,4.417,1.0,0.0,0.0,308250.0,56334.0,1.971,1.0
AccordionTable_cards_12_01,2,0.0,0.52,40328.0,0.0,1.499,0.0,0.0,0.0,45473.0,5325.0,0.218,1.0
graphColouring_mug88_1,baseline,0.0,0.03,13496.0,0.0,1.146,1.0,0.0,0.0,3709.0,2843.0,,
nlinkedopt_opt16,2,0.0,0.42000000000000004,124638.0,0.0,1.347,1.0,0.0,0.0,3678.0,41341.0,0.493,1.0
golfers1_ord18-6-7-4,baseline,0.0,0.15,95045.0,0.0,28.632,1.0,0.0,0.0,5409.0,22408.0,,
blackhole_PN-94,baseline,0.0,2.22,293370.0,0.0,4.678,1.0,0.0,0.0,86771.0,22565.0,,
blockedqueens_blockedqueens501642416461,baseline,0.0,5.26,28361.0,0.0,1.7,1.0,0.0,0.0,202761.0,8096.0,,
coprime_15,2,0.0,2.2800000000000002,42571.0,0.0,511.115,1.0,0.0,0.0,9546.0,3340.0,36.379,1.0
graphColouring_games120,baseline,0.0,0.1,91034.0,0.0,3.346,1.0,0.0,0.0,34165.0,15449.0,,
peaceableArmyOfQueens2-completion_peaceableArmyOfQueens249,baseline,0.0,0.8400000000000001,5967.0,0.0,2.379,1.0,0.0,0.0,63795.0,538.0,,
blockedqueens-strong_blockedqueens561860636816,baseline,0.0,0.18,6460.0,0.0,1.698,1.0,0.0,0.0,9511.0,1937.0,,
bibd-implied_puget18,baseline,0.0,0.08,36476.0,0.0,3.388,1.0,0.0,0.0,12073.0,7050.0,,
nlinkedseq_nlinkedseq-60-30,2,0.0,0.12,13530.0,0.0,1.158,1.0,0.0,0.0,8802.0,3300.0,0.197,1.0
blackhole_PN-21,2,0.0,0.09,39964.0,0.0,4.701,1.0,0.0,0.0,4480.0,10649.0,0.2,1.0
graphColouring_2-FullIns_3,2,0.0,0.04,12062.0,0.0,1.1,1.0,0.0,0.0,4065.0,2007.0,0.026,0.0
pegSolitaireTable_pegSolitaire18,baseline,0.0,51.36,498475.0,0.0,3.431,1.0,0.0,0.0,899259.0,139186.0,,
AccordionTable_cards_12_05,baseline,0.0,0.31,47740.0,0.0,1.353,1.0,0.0,0.0,15156.0,6312.0,,
nlinkedopt_opt38,baseline,0.0,537.8499999999999,123887.0,0.0,1.419,1.0,0.0,0.0,19710878.0,7217.0,,
blockedqueens_blockedqueens481721325133,2,0.0,0.14,22361.0,0.0,1.766,0.0,0.0,0.0,4430.0,6211.0,0.181,1.0
pegSolitaireTable_pegSolitaire3_6,2,0.0,3.73,465947.0,0.0,4.071,1.0,0.0,0.0,76758.0,130067.0,0.059,0.0
coprime_17,2,,,,0.0,1200.002,,1.0,,,,,0.0
sportsScheduling_12-10-2,baseline,0.0,0.68,57730.0,0.0,2.92,1.0,0.0,0.0,57080.0,14830.0,,
blockedqueens_blockedqueens501642446851,baseline,0.0,0.42,24624.0,0.0,1.782,0.0,0.0,0.0,11984.0,6908.0,,
blockedqueens_blockedqueens501642406727,2,0.0,0.79,26402.0,0.0,1.956,0.0,0.0,0.0,26733.0,7466.0,0.231,1.0
bibd_puget12,2,0.0,0.33,122902.0,0.0,6.448,1.0,0.0,0.0,12432.0,21876.0,0.844,1.0
sokoban_New30,2,0.0,0.01,22262.0,0.0,0.767,1.0,0.0,0.0,10.0,5746.0,0.14,1.0
Bombastic_Bombastic61,2,0.0,0.0,0.0,0.0,0.838,1.0,0.0,0.0,0.0,0.0,0.0,0.0
magicSequence_magicSequence350,2,0.0,0.15,352360.0,0.0,514.187,1.0,0.0,0.0,2.0,8999.0,1.44,1.0
graphColouring_miles250,2,0.0,0.21,63534.0,0.0,2.701,1.0,0.0,0.0,14035.0,11895.0,0.015,0.0
blackhole_PN-99,2,0.0,0.12,40300.0,0.0,5.175,1.0,0.0,0.0,6656.0,10721.0,0.307,1.0
blockedqueens-strong_blockedqueens481721281064,baseline,0.0,3.27,61431.0,0.0,2.148,1.0,0.0,0.0,132748.0,18016.0,,
RamseyNumbers_03-04-02-SAT,baseline,0.0,0.0,0.0,0.0,0.158,1.0,0.0,0.0,0.0,0.0,,
blockedqueens_blockedqueens481721321219,2,0.0,4.01,25786.0,0.0,1.857,1.0,0.0,0.0,168176.0,7291.0,0.22,1.0
blockedqueens_blockedqueens561860517914,baseline,0.0,10.05,32361.0,0.0,1.753,0.0,0.0,0.0,371295.0,9309.0,,
blockedqueens_blockedqueens281449837905,baseline,0.0,0.05,9811.0,0.0,1.176,1.0,0.0,0.0,2438.0,2751.0,,
futoshiki_futoshiki49,2,0.0,0.0,26.0,0.0,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sonet_sonet2,baseline,0.0,0.53,3741.0,0.0,0.715,1.0,0.0,0.0,42859.0,669.0,,
solitaireBattleship_solitaire_battleship_meuffels_hertog1,baseline,0.0,0.0,0.0,0.0,2.03,1.0,0.0,0.0,0.0,0.0,,
sokoban_New77,baseline,0.0,0.0,0.0,0.0,0.506,1.0,0.0,0.0,0.0,0.0,,
pegSolitaireTable_pegSolitaire2_46,2,0.0,28.87,481671.0,0.0,3.323,1.0,0.0,0.0,485331.0,134487.0,0.06,0.0
blockedqueens-strong_blockedqueens281449842399,2,0.0,0.05,3553.0,0.0,1.057,1.0,0.0,0.0,3533.0,1042.0,0.021,0.0
efpa_20,baseline,0.0,3245.33,23614.0,0.0,2.114,0.0,0.0,0.0,54613752.0,3996.0,,
futoshiki_futoshiki47,2,0.0,0.0,26.0,0.0,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carSequencing_46,2,0.0,9.15,4478037.0,0.0,17.77,1.0,0.0,0.0,131494.0,1426095.0,5.176,1.0
blockedqueens_blockedqueens481721302103,baseline,0.0,1.04,26699.0,0.0,1.658,0.0,0.0,0.0,39310.0,7621.0,,
pegSolitaireAction_pegSolitaire30,2,0.0,14.01,117822.0,0.0,28.91,1.0,0.0,0.0,1682904.0,10232.0,8.452,1.0
discreteTomography_8,baseline,0.0,0.16,297300.0,0.0,5.857,0.0,0.0,0.0,145.0,34676.0,,
carSequencing_24,baseline,0.0,4.05,247432.0,0.0,6.644,1.0,0.0,0.0,192056.0,25479.0,,
blockedqueens-strong_blockedqueens501642405851,baseline,0.0,0.37,6768.0,0.0,1.668,0.0,0.0,0.0,18593.0,2063.0,,
coprime_21,2,,,,0.0,1200.002,,1.0,,,,,0.0
golfers1_ThomasKirkman,2,0.0,18.88,1455773.0,0.0,16.692,1.0,0.0,0.0,88956.0,220899.0,7.756,1.0
blockedqueens_blockedqueens481721286911,2,0.0,3.47,25810.0,0.0,1.858,0.0,0.0,0.0,141483.0,7307.0,0.207,1.0
blackhole_PN-58,baseline,0.0,10.32,291529.0,0.0,5.571,1.0,0.0,0.0,350138.0,22499.0,,
RamseyNumbers_03-06-02-SAT,2,0.0,0.0,0.0,0.0,0.202,1.0,0.0,0.0,0.0,0.0,0.001,0.0
AccordionTable_cards_16_03,2,0.0,10.77,83958.0,0.0,2.222,0.0,0.0,0.0,363404.0,10196.0,0.171,1.0
opd_flener_et_al_tab1_09_37_12,2,0.0,1.64,55754.0,0.0,3.372,1.0,0.0,0.0,112015.0,11568.0,0.334,1.0
molnars_molnars-2-6,baseline,0.0,0.0,4663.0,0.0,0.42,0.0,0.0,0.0,1124.0,867.0,,
quasiGroup4Idempotent_quasiGroupX_18,2,,,,0.0,1200.001,,1.0,,,,,1.0
blockedqueens-strong_blockedqueens561860446678,baseline,0.0,1.11,6804.0,0.0,1.903,0.0,0.0,0.0,55656.0,1989.0,,
handball7_03,2,0.0,4.01,284521.0,0.0,12.311,1.0,0.0,0.0,125271.0,22917.0,0.938,1.0
sokoban_New56,2,0.0,0.0,1387.0,0.0,0.526,1.0,0.0,0.0,4.0,396.0,0.045,1.0
sonet2_sonet3-5,baseline,0.0,0.06,5466.0,0.0,0.99,1.0,0.0,0.0,5703.0,986.0,,
sonet2_sonet3-4,baseline,0.0,0.21000000000000002,5487.0,0.0,1.016,1.0,0.0,0.0,18591.0,986.0,,
blockedqueens-strong_blockedqueens481721343626,2,0.0,1.49,6455.0,0.0,1.77,1.0,0.0,0.0,84122.0,1932.0,0.005,0.0
golfers3_ord01-3-2-2,baseline,0.0,0.0,0.0,0.0,0.637,1.0,0.0,0.0,0.0,0.0,,
blockedqueens_blockedqueens281449803572,baseline,0.0,0.01,7682.0,0.0,1.103,0.0,0.0,0.0,348.0,2227.0,,
sudoku_sudoku7,baseline,0.0,0.0,0.0,0.0,0.489,1.0,0.0,0.0,0.0,0.0,,
blackhole_PN-35,2,0.0,0.08,40209.0,0.0,5.773,1.0,0.0,0.0,4477.0,10700.0,0.253,1.0
graphColouring_queen5_5,baseline,0.0,0.04,12581.0,0.0,1.244,1.0,0.0,0.0,3837.0,1239.0,,
blockedqueens_blockedqueens481721243211,2,0.0,2.19,26338.0,0.0,1.952,0.0,0.0,0.0,94141.0,7386.0,0.209,1.0
Bombastic_Bombastic54,2,0.0,0.0,0.0,0.0,1.214,1.0,0.0,0.0,0.0,0.0,0.0,0.0
golfers3_ThomasKirkman,baseline,0.0,0.69,19758.0,0.0,4.894,1.0,0.0,0.0,52056.0,5229.0,,
graphColouring_ash331GPIA,2,0.0,3.5300000000000002,854404.0,0.0,15.69,1.0,0.0,0.0,85626.0,119335.0,0.069,0.0
blackhole_PN-4,baseline,0.0,17.75,295198.0,0.0,4.29,1.0,0.0,0.0,675372.0,22665.0,,
knapsack_items-94,2,0.0,1669.41,2691613.0,0.0,7.055,1.0,0.0,0.0,2751156.0,11674.0,0.002,0.0
sportsScheduling_12-10-2,2,0.0,1.41,53198.0,0.0,3.084,1.0,0.0,0.0,72909.0,15135.0,0.197,1.0
pegSolitaireState_pegSolitaire13,baseline,0.0,1.2,53814.0,0.0,8.881,1.0,0.0,0.0,72243.0,9811.0,,
opd_flener_et_al_tab7_13_35_10,baseline,0.0,0.33999999999999997,78056.0,0.0,4.532,1.0,0.0,0.0,50924.0,14758.0,,
blockedqueens-strong_blockedqueens481721327521,2,0.0,0.46,6502.0,0.0,1.759,1.0,0.0,0.0,20657.0,1957.0,0.012,0.0
blockedqueens_blockedqueens481721261794,2,0.0,2.71,24346.0,0.0,1.826,1.0,0.0,0.0,123105.0,6901.0,0.223,1.0
blockedqueens_blockedqueens501642413357,baseline,0.0,2.22,28264.0,0.0,1.746,1.0,0.0,0.0,98275.0,8045.0,,
ramsey1_04-05-01-SAT,baseline,0.0,0.0,0.0,0.0,0.192,1.0,0.0,0.0,0.0,0.0,,
blockedqueens-strong_blockedqueens281449849062,baseline,0.0,0.08,3519.0,0.0,1.012,0.0,0.0,0.0,4421.0,1022.0,,
sedfnofix_28_3_D28_4_3_1,2,0.0,205.13,191318.0,0.0,15.656,0.0,0.0,0.0,1046853.0,60641.0,8.918,1.0
blockedqueens_blockedqueens561860450262,baseline,0.0,0.7,35852.0,0.0,1.873,1.0,0.0,0.0,19116.0,10418.0,,
