Problem,Policy,SolverTotalTime,TabulationTime,SavileRowClauseOut,SavileRowTotalTime,TabulationActivated,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes
blockedqueens-strong_blockedqueens501642407857,baseline,6.065,,0.0,1.203,,0.0,0.0,0.0,40404.0
knights2_07a,baseline,3.321,,0.0,2.055,,1.0,0.0,0.0,26259.0
blockedqueens-strong_blockedqueens561860531142,2,0.033,0.0,0.0,1.202,0.0,0.0,0.0,0.0,0.0
blockedqueens_blockedqueens561860521176,2,310.724,0.218,0.0,1.485,1.0,1.0,0.0,0.0,645979.0
carSequencing_10,baseline,3600.126,,0.0,2.373,,0.0,0.0,1.0,71106374.0
sokoban_New44,baseline,0.009,,0.0,0.451,,1.0,0.0,0.0,10.0
blackhole_PN-15,2,0.562,0.238,0.0,4.831,1.0,1.0,0.0,0.0,2795.0
sonet2_sonet1-4,2,0.007,0.007,0.0,0.607,0.0,1.0,0.0,0.0,633.0
golomb_golomb9,baseline,1.725,,0.0,0.81,,1.0,0.0,0.0,16132.0
knights2_15a,baseline,3600.382,,0.0,17.456,,0.0,0.0,1.0,3892186.0
blockedqueens_blockedqueens501642402587,2,59.948,0.203,0.0,1.396,1.0,0.0,0.0,0.0,111594.0
Bombastic_Bombastic26,2,0.001,0.0,0.0,1.817,0.0,1.0,0.0,0.0,1.0
opd_flener_et_al_tab7_4_35_10,baseline,0.014,,0.0,0.879,,1.0,0.0,0.0,1079.0
blackhole_PN-2,baseline,4.678,,0.0,4.58,,1.0,0.0,0.0,67156.0
carSequencing_70,2,393.383,5.235,0.0,9.443,1.0,1.0,0.0,0.0,787098.0
killer_16-sol11,baseline,0.886,,0.0,1.45,,1.0,0.0,0.0,4606.0
efpa_15,baseline,5.162,,0.0,2.065,,1.0,0.0,0.0,96209.0
carSequencing_26,2,3601.228,4.69,0.0,8.611,1.0,0.0,0.0,1.0,6680539.0
sokoban_New73,baseline,0.006,,0.0,0.535,,1.0,0.0,0.0,93.0
carSequencing_51,baseline,12.979,,0.0,3.554,,1.0,0.0,0.0,366891.0
blackhole_PN-48,2,0.082,0.219,0.0,6.355,1.0,0.0,0.0,0.0,13.0
blockedqueens_blockedqueens501642458995,baseline,87.538,,0.0,1.077,,0.0,0.0,0.0,221942.0
sudoku_sudoku,2,0.005,0.01,0.0,0.524,0.0,1.0,0.0,0.0,1.0
