Problem,Policy,Num_cons,thresh_overlap,SolverTotalTime,TabulationTime,SavileRowClauseOut,SolverSolveTime,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SolverTimeOut,SolverSolutionsFound,SolverSetupTime
killer_16-sol83,Sets,1,0.5,0.040676,0.061,0.0,0.040086,1.03,1.0,0.0,4.0,0.0,1.0,6.4e-05
blockedqueens-strong_blockedqueens281449789909,Sets,2,0.75,0.431645,0.012,0.0,0.409969,0.804,0.0,0.0,6044.0,0.0,0.0,0.001443
opd_flener_et_al_tab6_10_38_28,Sets,3,0.25,92.0927,85.387,0.0,92.0701,86.744,1.0,0.0,13690510.0,0.0,9.0,0.002975
pegSolitaireTable_pegSolitaire2_33,Sets,2,0.5,27.2787,0.02,0.0,27.1535,2.087,1.0,0.0,115109.0,0.0,1.0,0.016964
blockedqueens-strong_blockedqueens561860473904,Sets,3,0.0,940.117,1.152,0.0,940.012,2.823,0.0,0.0,4405895.0,0.0,0.0,0.004165
bibd-implied_puget21,Sets,1,0.25,,,0.0,,1200.727,,1.0,,,,
Bombastic_Bombastic58,Sets,1,0.0,0.037109,0.004,0.0,0.037112,0.383,1.0,0.0,1.0,0.0,1.0,0.0
blackhole_PN-4,Sets,1,0.75,1340.68,52.554,0.0,1290.99,60.695,1.0,0.0,620592.0,0.0,1.0,1.18324
molnars_molnars-2-5,Sets,1,0.0,0.00076,0.169,0.0,8e-06,0.411,0.0,0.0,0.0,0.0,0.0,4e-05
ramsey1_04-04-03-SAT,Sets,3,1.0,0.042096,0.007,0.0,0.041471,0.328,1.0,0.0,4.0,0.0,1.0,9.6e-05
peaceableArmyOfQueens2_peaceableArmyQueens4,Sets,3,0.5,,,0.0,,1200.002,,1.0,,,,
AccordionTable_cards_11_01,Sets,3,0.5,48.4162,15.611,0.0,39.3453,18.797,0.0,0.0,198506.0,0.0,0.0,0.760645
blackhole_PN-20,Sets,1,0.0,3588.28,36.721,0.0,3551.74,42.463,0.0,0.0,2249304.0,1.0,0.0,0.931915
knights2_20a,Sets,3,1.0,,,0.0,,1200.001,,1.0,,,,
handball7_10,Sets,2,0.25,,,0.0,,1204.772,,1.0,,,,
blockedqueens_blockedqueens281449801541,Sets,2,0.0,78.8748,14.917,0.0,77.77,16.111,0.0,0.0,12200.0,0.0,0.0,0.052492
sudoku_sudoku5,2,-1,-1.0,0.035966,0.002,0.0,0.035357,0.438,1.0,0.0,1.0,0.0,1.0,6.2e-05
sudoku_sudoku49,Sets,1,0.5,0.034049,0.053,0.0,0.033401,0.417,1.0,0.0,1.0,0.0,1.0,6.9e-05
opd_puget9,Sets,1,0.25,0.720058,12.576,0.0,0.344754,14.041,1.0,0.0,20526.0,0.0,7.0,0.044746
graphColouring_huck,Sets,2,0.5,0.202804,1.05,0.0,0.000775,1.808,1.0,0.0,75.0,0.0,1.0,0.015153
peaceableArmyOfQueens_paq4,Sets,2,0.25,0.029012,2.084,0.0,0.020455,2.586,1.0,0.0,179.0,0.0,2.0,0.000649
blockedqueens-strong_blockedqueens281449838896,Sets,2,0.0,0.145188,0.291,0.0,0.124636,1.054,1.0,0.0,1393.0,0.0,1.0,0.00151
blackhole_PN-5,Sets,2,1.0,0.000566,0.014,0.0,1.9e-05,1.67,0.0,0.0,0.0,0.0,0.0,6e-05
pegSolitaireTable_pegSolitaire2_33,Sets,2,0.0,25.9158,11.397,0.0,25.7915,13.412,1.0,0.0,115109.0,0.0,1.0,0.016813
quasiGroup4Idempotent_quasiGroupX_21,Sets,2,1.0,,,0.0,,1200.002,,1.0,,,,
blockedqueens_blockedqueens281449850265,Sets,2,1.0,0.981515,0.011,0.0,0.970896,0.68,1.0,0.0,22677.0,0.0,1.0,0.000588
sudoku_sudoku37,Sets,1,1.0,0.033197,0.026,0.0,0.032622,0.434,1.0,0.0,1.0,0.0,1.0,6.1e-05
